section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength,n,mxx,myy,vx,vy,mzz,utilization
i_section,True,274.5125923105843,109.20895635430243,10.87337506711583,11.009667381097923,8.247064544741214,8,5217.980255811497,0.4154118326451317,0.5444136143664394,57040846.55815184,2391954.3190583177,-5.812872023809524e-08,168000.0,0.35100000000000003,273.0,1949527.891178811,-10927058.70076564,9629148.689510439,242339.88600556424,164923.36496241845,2532322.949811979,2.5178797922495515
i_section,True,245.0559351484704,122.65147101264243,26.840523104789415,9.583621836880509,18.306249916568966,8,8714.605758316246,0.6597014766904005,0.2718565689613218,86859884.39667252,8295427.075011789,1.8136160714285715e-07,140000.0,0.39,210.0,2134036.8153766785,-185618373.07539037,806532.7454308085,-444103.7621982695,-556531.0055615392,-2638360.347126161,3.1097218416437373
i_section,True,168.25790026699462,281.09655961407685,18.665061947626867,12.69979737955908,15.194313400499256,8,12360.37540306354,0.7391725127911661,0.150716872809274,62172164.1859068,69138467.75252914,4.296875e-07,100000.0,0.3,350.0,-2909450.7061460507,86046268.0632371,-22530609.241910517,-279598.3777395736,98890.29332423501,-3529786.5000533205,1.1493712685669795
i_section,True,273.2066602333733,193.21170000622752,18.49331089011,8.775952624298965,14.023766747819728,8,9393.295739954923,0.6621757668416474,0.24686945280751227,128052597.64646722,22255822.108087566,3.312177791344458e-07,176904.0,0.35380799999999996,315.315,-275934.3643319323,200103805.30117336,-13510214.510614533,-533451.3430664216,-75432.75378503709,2142539.1166631486,1.2569874189359245
i_section,True,294.368216577629,201.74319693016,16.03865300560746,20.743821910203813,6.740385144427794,8,11952.488906658471,0.48479800462005446,0.45549620451945877,157337162.2462476,22149800.047991913,8.942880036630037e-07,218400.0,0.4212,300.3,2468637.349445589,-183744752.00381988,7386706.076608732,-511104.8018852596,-18769.126353403786,-4280038.632356774,1.6104182334887949
i_section,True,192.62404975045666,157.10369414390584,19.58076563082256,13.855535661419278,6.2756940431564185,8,8313.570221685335,0.6403626135996292,0.28921511832192465,50624205.4378358,12690785.801702676,7.728414846470402e-08,88452.0,0.31842719999999997,409.90950000000004,-1394221.0299279322,117312611.9713603,22508915.468627032,-58835.64925518923,-802334.1009563617,-963884.6349855121,1.9128836259244397
i_section,True,289.0678181067955,166.3642088783399,28.819205842735023,17.536774856238573,16.36059085562234,8,13884.302715237889,0.6075545921365665,0.34662802854973995,184114170.96850047,22259535.704265475,-7.551765364265365e-07,196560.0,0.50544,210.21,2012927.450798029,93431007.42268237,21903367.563182984,332578.05380058906,-215599.4560412335,-3039522.1775350217,1.4281135249993868
i_section,True,249.70576028393342,91.60589727674486,13.474774218107882,10.544706604975492,12.014273101741928,8,4945.337501736999,0.4709968221799291,0.5083086526101863,45700154.53095003,1757037.6524439491,-2.7601481594537152e-08,61916.399999999994,0.22289903999999996,258.242985,-2855197.9415913555,-134868769.74836546,-21296115.917633623,-310817.99605150416,354535.61137430277,4937239.217826019,5.880089575670558
i_section,True,240.29295089257045,128.93113895601232,25.58386997828507,17.644550297854252,17.917638439103733,8,10218.172161919982,0.6073596109576334,0.3962635988418528,88667154.33238931,9276040.285877528,9.463365118127024e-08,61916.399999999994,0.15921359999999998,286.93665,-524598.873431718,174452236.0753449,-15744774.26263154,-46618.231544710405,104289.8095975822,1827696.8900301456,1.3841243746384189
i_section,True,292.25576544561017,250.58285922125899,11.350931862746513,15.672144923326716,15.574985446252022,8,10127.79809202439,0.5140775243059422,0.4051001180260896,141558385.98223546,29883163.09818215,-1.654434461211018e-06,88540.45199999999,0.22067004959999997,503.57382075,-2056604.212677062,176278178.22886506,-6629367.877456967,364607.48224698217,611523.6478158031,-1776257.1411431828,1.0679719299169617
