d,b,t,r_out,n_r,n,mxx,myy,vx,vy,mzz,area,ixx,iyy,ixy,g_eff,utilization,section_param_id,section_type
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,-274778.0245133571,-7335699.391211018,11122994.850104205,119990.6103136823,-1309.5905088872532,-3426903.827174604,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.20934669544192555,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,192289.23575746012,-4418382.904179618,6935980.227849565,1289.7445501568727,-125364.00935944985,-10099658.328830523,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.1537852402486348,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,-570276.7375936342,-22559632.510922972,18021390.743364483,111653.5540073443,-105110.56728220289,-6063601.095838636,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.35171353835936986,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,333579.01495093084,-25932226.690072805,29821321.175468415,93452.9614924356,230215.41643743345,11818065.590386853,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.36500995360954736,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,506146.2588898442,-20002654.657930143,-18685525.899128243,-246044.8098689599,232751.82717904,17624992.092823096,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.6055411166228009,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,1009774.8695263499,-15730138.743138725,17036760.36842245,186416.01820831455,-114852.66779863191,-8074173.029613256,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.4211524357384905,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,-53068.21592598257,-21464937.16898824,-25424542.221194766,52133.43128870707,-41820.38410242312,-11441041.571668543,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.17802191317142144,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,98739.04788605659,18753670.450989578,-5945363.241558056,237893.5181182886,40429.25902077113,18955869.044861227,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.4471247536366501,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,134255.85684185964,15149750.627509136,4512804.424117871,34989.039591764624,-177553.6043229777,373775.66581811383,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.18519410668809208,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,128632.35735015548,-27755751.58473023,11011981.737294815,-28174.037173968973,251761.93022929272,5521332.450151123,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.26927287762922075,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,194341.69266636833,513852.78651086986,-2339933.515703317,90973.63224055053,-26054.39478803941,6471105.955588307,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.17765830563041551,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,-537549.1648883468,-6463779.713800661,-27269841.242438335,-91667.2210534442,192313.3113728037,10302572.398006063,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.3260852643643046,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,992310.9222609056,-15509909.011617266,-6496416.493326981,-83572.65352819284,81611.81827729347,-12823247.35304571,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.33869407121540296,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,-842125.7140746999,755973.5210632868,29481699.422165133,128719.68756560521,46314.778126251826,-6296077.428461444,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.3212367462275595,0,rectangular_hollow_section
270.6970086674505,191.4908958136483,10.715480983804648,15.562846212878988,4,-186641.2401422382,-665857.578004133,-25276545.609400317,50303.933918623254,17878.442983809102,-13002436.032811364,9227.140039384729,18641610524922.78,10870021089871.99,0.15234375,76923.07692307666,0.19423098453244628,0,rectangular_hollow_section
