section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength,n,mxx,myy,vx,vy,mzz,utilization
i_section,True,196.4836187529114,185.15035252568927,21.61703307856289,20.954834549954057,14.202792286652782,8,11394.58407887806,0.6392365731330316,0.3212675896848856,68752646.4159852,23019887.84320484,-5.794986263736264e-07,91000.0,0.5405400000000001,507.0,-1981737.1309267557,-139606156.60363543,12456996.28114009,-168057.82622929805,-469259.21057383064,973607.6389820375,0.83531467170644
i_section,True,116.93718013445556,121.33278551312502,15.874597996420382,22.321455349443077,18.225792969587552,8,6047.619701787761,0.6727699343297594,0.3886002755445744,11505192.495472208,4877394.652522518,1.7885760073260073e-08,81900.0,0.7567560000000001,507.0,-24033.25026230707,95892809.78801927,2338175.719573803,-131697.0576929645,-125095.15008083795,1838262.6089788813,1.0264083827044121
i_section,True,157.000049959256,255.29895700983607,17.380396893212136,24.14621926499933,13.228916285274217,8,11980.837731499489,0.67181894822563,0.2415286662242767,47671155.16836929,48380595.41668025,-6.438873626373626e-07,91000.0,0.4914,390.0,-1156293.489451528,-115587380.75697315,-6792966.3860358205,-424210.92069673375,50097.29098069658,3452880.6413995754,0.89375504364742
i_section,True,149.62267826398835,102.051396531762,13.597373701650294,13.10588057579629,17.8607070648715,8,4662.013597683543,0.5987375885099441,0.4058429058617208,15809622.344337735,2466732.4519297164,-9.936533374033376e-09,73710.0,0.6810804000000001,507.0,-1104501.8044059721,2311531.245907506,-6310368.494542814,259187.29931628067,168689.26412630314,-802030.040437282,0.853443694081019
i_section,True,251.42384807620107,212.73546143920976,18.881906689947655,28.04554931078978,9.028415407914824,8,14098.029786680629,0.5277571087473331,0.4299525966739023,132433381.49728373,30709647.615120843,-7.254464285714286e-07,140000.0,0.42,650.0,-2566457.7098879297,183188611.7952252,16354585.074209016,518908.6257728188,749597.3206826263,-3211146.5368165243,0.8483327653329502
i_section,True,235.07539462086152,100.3295253723294,9.80757941776306,15.87457764794378,17.75029366222838,8,5667.067017679348,0.4158078490129187,0.6176864325925723,41214570.26483031,1765910.687519764,1.911790932954954e-08,51081.030000000006,0.163459296,410.67,817259.7576862588,23321383.607944585,5477843.652804801,-131547.52829498096,202274.12561837697,1352883.3310476767,0.8928312624703717
i_section,True,105.13865545737686,132.93485104052485,24.00510329503168,20.706359562619777,14.644995577621131,8,7754.900174859572,0.7670783558696699,0.2567835049701224,11253524.71765848,9478054.02114264,-4.34932437247252e-08,72972.90000000001,0.3269185920000001,684.45,-1104302.4266237773,-27992007.016658865,-8770675.105879545,187226.88485995497,-591493.636689767,502502.1439054497,1.117342506843423
i_section,True,249.2750946300896,120.08008718383302,16.305148272584773,17.794707531783025,15.3822365270569,8,7980.667303591235,0.4748692125943826,0.5199546789963043,70604826.02898836,4841059.519212085,-1.472079018375315e-07,66339.0,0.5448643200000002,760.5,-1365860.890684067,97410920.2716708,-35438421.68897797,92603.34153410957,49115.37978967165,-4636613.762916823,1.0293669552746973
i_section,True,247.2338185109169,112.51622535682644,8.562673654893043,24.01971034534337,6.456775239126307,8,7490.90164782781,0.3223103449909501,0.7092691829792249,52316790.22810528,2305339.3991984325,1.5207427875778044e-07,67426.95960000002,0.2762462102400001,402.4566,1000978.204704012,30324726.855955325,-7357000.278936497,-83544.65474751338,245041.16821572554,796381.6844068546,0.9561918286667079
i_section,True,222.68500272464456,92.95690615888456,24.018421514063697,29.539451316515255,9.203775653832649,8,9699.310189506592,0.5046468749909719,0.6111657679278888,57932763.46014253,3612112.3694086582,3.439775352854557e-07,40456.175760000006,0.3038708312640001,482.9479199999999,-53014.906686704264,126240749.50824615,-5319425.863209913,623029.6974854593,676073.8734831433,1019385.9188978769,1.000439377578608
