section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength,n,mxx,myy,vx,vy,mzz,utilization
i_section,True,137.7656003757808,116.21887098183991,9.613608379865054,18.67007004963032,12.51988660548654,8,4586.36100191193,0.523805431983462,0.4939691733495219,12225434.321211012,2600844.201963903,-2.3547513985339505e-08,51840.0,0.1492991999999999,1245.0900000000004,1464997.6208455982,-155236001.27881572,-9535544.590946162,-328968.16245007294,-401440.589393066,3293465.4508286477,1.1303084656448066
i_section,True,293.81501312548596,76.13955624394099,14.967101119210623,21.234865252839192,6.536572432237992,8,7920.451014337417,0.3208699757307166,0.715586645349085,77506501.92506647,1317235.456113955,-8.7890625e-08,100000.0,0.288,1050.0,766282.6630667886,-218797585.09134063,25662511.632230736,-575579.1552013314,-1065589.2528539405,-3026881.54906844,1.193884139605215
i_section,True,231.13842886374903,121.03065375889764,22.68097663238131,19.022509540969132,10.967357525129213,8,9130.536781026676,0.5579854071527713,0.4453024921064753,70912540.08048984,6824265.728671624,5.154079861111111e-07,144000.0,0.20736,1617.0000000000002,-6013545.590991798,285148329.61864245,-48863506.62573588,1133333.2382158043,-1775774.6065319565,-1072746.0970538133,0.9626767600317834
i_section,True,395.437967406385,149.7059042033191,8.558277174356746,24.062618811549783,17.59166019569914,8,11939.640359225908,0.2813394122034582,0.7271036690736349,213868009.16567332,5298583.98146544,3.995941767209128e-07,34214.4,0.1074954239999999,1307.3445000000004,-3823101.0370576056,417441145.4459179,-31512027.847205687,1521980.3378791069,-1475171.6114409952,2619598.8776676245,1.1791562173374368
i_section,True,395.1620415708589,73.54125535764828,28.17693384915855,20.073407307949484,7.373886637149446,8,10993.473883120096,0.3948068130417488,0.6640510896801424,206223440.31111276,2102890.551825547,-1.5698342656893005e-08,31104.0,0.0895795199999999,871.5630000000002,-8382048.393136568,-93312328.64864977,-729012.3304727847,-139766.0965689507,1282804.3426401555,-5929132.564011784,1.1232717066570976
i_section,True,285.146117916775,223.47868352921375,14.186404663449707,25.05614628538532,9.803294164627763,8,12859.492042908632,0.461527058157153,0.483549832156352,153191843.40170452,26744817.97503531,-4.069010416666667e-07,86400.0,0.1244159999999999,1778.7000000000005,9203391.979438601,-316212895.1897495,-85118037.59798586,32343.097042427875,-2611722.2433277387,15384156.52667455,0.8313563492830223
i_section,True,304.4003652568068,154.92925348549818,22.941587376278605,26.833390002332745,14.55835146516727,8,14233.048344712171,0.4862881161572877,0.526142997976869,182706013.5212632,14689313.498211397,-7.6171875e-07,100000.0,0.36,700.0,822635.7680939412,392321127.5478816,-40815372.56699465,-710156.364220268,-1546274.4735777925,-4664569.240597538,0.9573734275681675
i_section,True,272.69555960330445,100.66785648177,28.738332444172617,9.350920726021382,15.780166441511946,8,8018.851578315115,0.641858156336296,0.3167267149935618,96641441.13846847,4918103.863882385,-1.0571274516426264e-08,46189.44,0.0993257717759999,2447.348904000001,-13868530.752037046,-332596882.2662648,-18676313.627985545,1356368.8832776267,2531996.961514262,9707450.149186473,1.1814035226885966
i_section,True,278.7129474532086,91.34074355103884,17.313054641173093,9.879247705828028,16.248038920731666,8,5807.730442970741,0.5247865234685062,0.4617303197140915,69352790.27538384,2238299.979930308,1.5416442003121638e-07,27713.664,0.0695280402431999,2202.614013600001,-5780828.696592154,-15328000.546499964,35878946.40521472,688351.7044220353,1931569.0629350995,5458033.650092268,0.8840068372721385
i_section,True,153.38194992214125,253.81325390389733,16.115426680799175,26.759602983009813,18.22865331007505,8,11716.54679284537,0.6627937395718083,0.2671819348602074,43617076.34487613,44204513.81856347,-4.376507649800473e-07,51321.600000000006,0.1418939596799999,1882.5760800000005,319618.3228248237,-753405967.3642328,-3941469.9184456975,40584.57356343657,-2695030.428712787,-3789565.3092027563,0.9605590136123074
